	Platform Information	https://developers.tiktok.com/products/research-api/								
	Link to Form	https://developers.tiktok.com/application/research-api								
	Account Required	TRUE								
	Modality	Form								
										
										
id	Question	Type	Classification	MAIN_Question	Operation	Required	Condition	Options	Details	Comments
T1	Your name as shown on your professional profile (e.g. your university or research organisation profile)	free form	Contact Details	first-name, last-name	join-space	TRUE			max 50 characters, e.g. your university or research organisation profile	
T2	Are you affiliated with an academic institution or a not-for-profit body, organisation or association whose principal aim is to conduct research on a not-for-profit basis pursuant to a public-interest mission?	selection	Affiliation	commercial-purpose		TRUE		Academic institution,  Not-for-profit body, organization or association (based in the EU 27 Member States only)		
T3	Where is your research institution/organization and your principal researcher located?	selection	Affiliation	org-addr-country		TRUE	if T2 == Academic Institute	EEA (European Economic Area), UK, or Switzerland;  US and its territories		
T4	Please select your region within the US and its territories.	selection	Affiliation	org-addr-country		TRUE	if T2 == Academic Institute && T3 == US	United States of America, American Samoa, Guam, Midway Islands, North Mariana Islands, Puerto Rico, US Virgin Islands	Currently, TikTok's Research Tools are only available in the countries listed below.	
T5	Please select your country of application.	selection	Affiliation	org-addr-country		TRUE	if T2 == Academic Institute AND T3 == EEA	Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom	Currently, TikTok's Research Tools are only available in the countries listed below.	
T6	Please select your country of application:	selection	Affiliation	org-addr-country		TRUE	if T2 == Not-for-profit body	Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden	Currently, TikTok's Research Tools are only available in the countries listed below.	
T7	Please specify whether your research requires you to have access to data for users who are under the age of 18	selection	Requested Data	data-requested-U18		TRUE	if T2 == Not-for-profit body	Yes, No	Please note: If you are approved for access to U18 user data, you will receive access via our Virtual Compute Environment, which has stricter security controls in order to best protect our younger users' privacy	
T8	What is your role?	selection	Affiliation	org-role		TRUE		Faculty member / Postdoc, Research student, Non-academic researcher, Other		
T9	If you are a research student, please attach an endorsement letter from your dissertation advisor or equivalent.	file upload	Affiliation	org-role, org-evidence		TRUE	if T8 == Student		Accepted formats: pdf, Maximum 1 files, up to 5MB each	
T10	Please specify what your role is	free form	Affiliation	org-role		TRUE	if T8 == Other			
T11	If available or required by your institution, please upload your institutional review board or ethics review board approval or exemption document.	file upload	Research Project	research-ethics		FALSE	if T2 == Academic Institute && T3 == US		Accepted formats: mov, mp4, jpeg, jpg, png, txt, pdf, Maximum 5 files, up to 5MB each	
T12	Please upload the ethics approval document from your internal ethics review board/committee or an appropriate third-party ethical review board.	file upload	Research Project	research-ethics		TRUE	if T2 == Not-for-profit body	Yes, No		
T13	If available or required by your institution, please upload your institutional review board or ethics review board approval or exemption document.	file upload	Research Project	research-ethics		FALSE	if T2 == Academic Institute AND T3 == EEA AND T7==No		Accepted formats: mov, mp4, jpeg, jpg, png, txt, pdf, Maximum 5 files, up to 5MB each	
T14	Provide your organisation registration ID	free form	Affiliation	org-id		TRUE	if T2 == Not-for-profit body			
T15	Did you receive funding to conduct this research?	selection	Funding / Commercial Interests	commercial-purpose		TRUE		Yes, No		
T16	The research to be conducted must be independent from commercial interests. If you received funding to conduct this research, please disclose the source of the funding	free form	Funding / Commercial Interests	funding-sources		TRUE	if T15 == Yes			
T17	What is your professional email address?	free form	Affiliation	email-inst		TRUE			max 50 characters, validity check; This email address should be what you use professionally (e.g., the email associated with your academic institution or not-for-profit organisation), and the one used to create your TikTok for Developers account	
T18	Provide a link to your professional introduction page (e.g., LinkedIn page or introduction page associated with your academic institution or not-for-profit organisation)	free form	Affiliation	profile-inst		TRUE			max 100 characters, validity + https check	
T19	What is the name of your academic institution or not-for-profit organization	free form	Affiliation	org-name		TRUE			max 100 characters	
T20	What is the address of your academic institution or not-for-profit organization?	free form	Affiliation	org-addr-street, org-addr-city, org-addr-postcode, org-addr-state, org-addr-country	join-comma	TRUE			max 100 characters	
T21	What is the link to your academic institution's or not-for-profit organization's website	free form	Affiliation	org-website		TRUE			max 100 characters, validity + https check	
T22	What is the link to your academic institution's or not-for-profit organization's website related to your specific area of research	free form	Affiliation	org-website		TRUE			max 100 characters, validity + https check	
T23	Where applicable, please provide your academic institution's or not-for-profit organization's registration number	free form	Affiliation	org-id		FALSE				
T24	What is your area of expertise	free form	Qualifications	cv		TRUE			max 50 characters	
T25	Provide the name of your research team	free form	Affiliation	org-department		TRUE			max 50 characters; This can be your lab name OR your name followed by the research topic	
T26	Do you work with a research team that may also need to access the TikTok Research Tools' datasets	selection	Collaboration	collab-binary		TRUE		Yes, No		
T27	Please provide the name, research entity, area of expertise, title and role of your team member(s)	free form	Collaboration	collab-list, cv		TRUE	if T26==Yes			
T28	Provide links to your past publications or attended conferences	free form	Qualifications	cv		FALSE			max 1000 characters	
T29	Which research topic category/categories does/do your proposal fall under	multi-select	Research Project	research-keywords		TRUE		Consumer trends; behavioral science; community and culture; education; Radicalization, misinformation, disinformation, hate speech, violent extremism, influence operations; Human rights; Civic engagement and activism; Algorithm; Mental health; Safety & well-being; Other (please specify)		
T30	Other	free form	Research Project	research-keywords		TRUE	if T29 == Other			
T31	Provide a summary of your project	free form	Research Project	research-summary, research-sysrisk	make-report	TRUE			max 1000 characters	
T32	Please provide a description of your research design	free form	Research Project	research-method		TRUE			max 1000 characters	
T33	State your access request start date	date-select	Requested Data	data-acc-start		TRUE				
T34	State your access request end date	date-select	Requested Data	data-acc-end		TRUE			The longest access you can apply for is 2 years.	
T35	Explain why this time period for access is necessary	free form	Requested Data	data-expl		TRUE			max 1000 characters	
T36	Do you have plans to share the datasets from the TikTok Research Tools with third parties (for example, another academic institution, not-for-profit organisation or research entity)	selection	Collaboration	collab-share-binary		TRUE		Yes, No		
T37	Please specify the party with whom you plan to share the data, the reason for doing so and attach any relevant agreements on how this data will be used.	free form	Collaboration	collab-share		TRUE				
T38	Please upload any agreements that we review on the data use	file upload	Collaboration	tom-evidence, collab-share		TRUE			Accepted formats: mov, mp4, jpeg, jpg, png, txt, pdf; ; Maximum 5 files, up to 5MB each	
T39	Describe your data protection plans by providing the terms of your research data and privacy governance. This should include the appropriate technical and organisational security measures that are in place to protect personal data	free form	Data Security	tom-general		TRUE			max 1000 characters	
T40	What are your research hypotheses or research questions	free form	Research Project	research-question		TRUE				
T41	What are the expected outputs of your project	free form	Research Project	research-publication		FALSE			Share how you intend to use your findings and outputs (for example: publish blog posts, academic articles, books, or present talks at conferences).	
T42	Provide a summary of your literature review	free form	Research Project	research-summary-litreview		FALSE				
T43	Provide a list of your references or citations	free form	Research Project	research-citations		FALSE				
T44	By ticking this box, I hereby agree, on my own behalf and on behalf of the institution that I work for, to the TikTok Research Tools Terms of Service	selection	Legal	legal-consent		TRUE				
T45	By ticking this box, I hereby certify, on my own behalf and on behalf of the institution that I work for, that the statements contained in the Compliance Certification are true, and I understand my obligation to disclose any issues or risks of non-compliance to TikTok.	selection	Legal	legal-consent		TRUE				
T46	By ticking this box, I confirm to comply with TikTok's Global Data Sharing Research Security Measures	selection	Legal	legal-consent		TRUE				
T47	I consent to the collection of information about me and my organization necessary for verification by Percent pursuant to their Terms & Conditions and confirm that I have read and consent to the Percent Privacy Policy (Applicable to applicants from non-academic not-for-profit bodies, organizations OR associations only).	selection	Legal	legal-consent		TRUE				